Word or phrase to eliminate,Suggested replacements,History / rationale
Master / slave,Main / pages or Primary / secondary,"While it's unclear whether the term is rooted in American slavery on plantations, it evokes that history."
Master bedrooms / bathrooms,Primary bedroom,The word “master” harks back to the time of slavery in the United States when white male plantation owners were addressed with the term. But the word also suggests that a master is a man.
Mumbo Jumbo,"Gibberish (?), nonsense, incomprehensible, unclear","This phrase, which typically denotes anything that is nonsensical, meaningless, or superstitious, is believed to have derived from the Mandinka word “Maamajomboo,” a masked dancer who participated in certain West African religious ceremonies."
No can do,I’m unable to do that / I can’t do that,"The history of the phrase isn’t innocent, as “no can do” originally emerged in the 19th century to mock Chinese immigrants’ speech patterns in English. (“Pidgin English,” as it was called.)"
Off the reservation,Off the rails,"The phrase is rooted in the forced relocation of Native Americans. In the 19th century, it referred to Native Americans leaving the reservation land to which they had been confined."
Open the kimono,Show their cards,Inherently sexist and racist towards Asians.
Paddy wagon,Police cars / vans / wagons,“Paddy wagon” has been called the last surviving Irish American slur.
Peanut gallery,Hecklers (?),The name for the cheapest seats in the upper gallery of a theater during the vaudeville era. These seats almost always belonged to poor Black men and women.
Pow-wow,"Chat, brief conversation, quick talk, brainstorm.","A pow-wow is an inter-tribal social gathering that includes dance, singing, and ceremonial elements. Many tribes and Native organizations hold them on a regular basis. Using this term out of context to refer to a meeting or a quick chat or conversation trivializes the significance of these gatherings."
Slave,Enslaved person,"As our language evolves, person-first language is gaining greater ground among certain marginalized groups. When in doubt, ask someone how they'd like to be referred to, understanding of course that they are only representing their personal preference and not necessarily that of the larger group."
Sold down the river,Betrayed,"Those who were “sold down the river” were enslaved people, separated from their families in most cases, and transported via the Mississippi or Ohio river to cotton plantations in states further south."
Spirit animal,"Kindred spirit, I love this, I really enjoy this, this gives me life, etc.",Critics call casual usage of the term by non-Natives cultural appropriation.
Stakeholder,"Those with strategic interests in the project, beneficiaries of the project, people whose support or input you seek. See link for other suggestions.","The term “stakeholder” is used across many disciplines to reflect different levels of input or investment in projects or activities. This term can be used to reflect a power differential between groups and has a violent connotation for some tribes and tribal members. It also groups all parties into one term, despite potential differences in the way they are engaged or interact with a project or activity."
Turn a deaf ear / turning a blind eye / the blind leading the blind,"Ignoring, insensitive, misguided.",It is best to avoid idioms that cast a negative connotation on people’s various physical abilities. Drop the idiom and instead use terms that cut to your point without offending others.
Uppity,"Arrogant, haughty, presumptive","Typically used to disparage a Black person who does not “know his or her place.” Used by white people to refer to Black people who have the audacity to think well of themselves, to assert unapologetically an opinion that may be outside a white person’s comfort zone or thinking."
Use of digital blackface,Use words to describe reactions instead of GIFs highlighting actions from other cultures,"“If there’s one thing the Internet thrives on, it’s hyperbole and the overrepresentation of black people in GIFing everyone’s daily crises plays up enduring perceptions and stereotypes about black expression. And when nonblack users flock to these images, they are playacting within those stereotypes in a manner reminiscent of an unsavory American tradition. ”"
